1623483709033|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623483709035|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623483733504|22|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623483733524|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623483887971|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623483887973|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623483888791|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623483888794|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623483888930|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623483888934|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623483900515|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623483900518|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623483916109|24|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623483916130|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623483980162|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623483980164|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623484093323|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623484093325|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623484093478|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623484093479|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623484094508|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623484094511|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623484351560|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623484351563|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623484638028|19|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623484638044|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623485156481|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623485156484|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623485158346|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623485158348|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623485430645|17|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623485430661|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623485589512|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623485589518|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623485637861|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623485637862|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623485638931|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623485638933|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623485645207|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623485645209|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623485648758|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623485648762|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar,                u.username as authorName         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
